INTERFACE_TYPE,ITEM_CLASS,ITEM_CODE,ITEM_SPEC,ITEM_UNITS,ITEM_NAME,INSUR_CODE,INSUR_NAME,OPER,VSDATE,ORGAN_ID,INSUR_XZ,UPLOADPB,INSUR_LEVEL
GZYB,D,270800004,/,次,液基薄层细胞制片技术,61027080000400000000,液基薄层细胞制片术,刘芳,,270800004,,,乙类
GZYB,D,270700002,/,次,印迹杂交技术,61027070000200000000,印迹杂交技术,刘芳,,270700002,,,乙类
GZYB,G,330100008a,/,天,腰麻硬膜外联合阻滞术后镇痛,YB90330100008,术后镇痛（腰麻硬膜外联合阻滞）,兰慧,,330100008a,,,非医保
GZYB,D,270700001,/,项,原位杂交技术,69027070000101000000,原位杂交技术,刘芳,,270700001,,,甲类
GZYB,D,310100008,/,每条,神经电图,60031010000800000000,神经电图,刘芳,,310100008,,,甲类
GZYB,D,310100025,/,小时,肌电图监测,61031010002500000000,肌电图监测,刘芳,,310100025,,,乙类
GZYB,D,310402001,/,次,鼻内镜检查,60031040200100000000,鼻内镜检查,刘芳,,310402001,,,甲类
GZYB,D,310100002,/,次,特殊脑电图,60031010000200000000,特殊脑电图,刘芳,,310100002,,,甲类
GZYB,D,310601011,/,项,运动激发试验,60031060101100000000,运动激发试验,刘芳,,310601011,,,甲类
GZYB,G,330100015,/,小时,阻滞麻醉中监测,61033010001500000000,麻醉中监测,兰慧,,330100015,,,乙类
GZYB,G,330100015a,/,小时,全麻麻醉中监测,61033010001500000000,麻醉中监测,兰慧,,330100015a,,,乙类
GZYB,D,310501008,/,单颌,记存模型制备,69031050100800000000,记存模型制备,刘芳,,310501008,,,非医保
GZYB,D,310300010,/,次,主导眼检查,60031030001000000000,主导眼检查,刘芳,,310300010,,,甲类
GZYB,D,270800008,/,次,普通病理会诊,69027080000800000000,普通病理会诊,刘芳,,270800008,,,非医保
GZYB,D,310300004,/,次,视网膜视力检查,60031030000400000000,视网膜视力检查,刘芳,,310300004,,,甲类
GZYB,D,310300007,/,项,验光,69031030000700000000,验光,刘芳,,310300007,,,非医保
GZYB,D,310904003,/,次,肛门镜检查,60031090400300000000,肛门镜检查,刘芳,,310904003,,,甲类
GZYB,D,310502002,/,每根管,根管长度测量,60031050200200000000,根管长度测量,刘芳,,310502002,,,甲类
GZYB,D,310601004,/,项,气道阻力测定,60031060100400000000,气道阻力测定,刘芳,,310601004,,,甲类
GZYB,D,270400001,/,例,冰冻切片检查与诊断,60027040000100000000,冰冻切片检查与诊断,刘芳,,270400001,,,甲类
GZYB,D,270500002a,/,项,全自动快速加收,61027050000201000000,免疫组织化学染色诊断(全自动快速Covertile法加收),刘芳,,270500002a,,,甲类
GZYB,D,220201002b,/,每个部位,胸部B超,60022020100200000000,B超常规检查,刘芳,,220201002b,,,甲类
GZYB,D,220201002c,/,每个部位,腹部B超,60022020100200000000,B超常规检查,刘芳,,220201002c,,,甲类
GZYB,D,220201002d,/,每个部位,泌尿系B超,60022020100200000000,B超常规检查,刘芳,,220201002d,,,甲类
